external relations,freedom and democracy,political system,economy,welfare and quality of life,fabric of society,social groups
0.0012367647141218185,1.572682594996877e-05,0.0005793894524686038,0.997664213180542,0.00012410151248332113,0.0002086131280520931,0.00017118970572482795
0.0004672796931117773,0.0003125353832729161,0.0007311250665225089,1.5451205399585888e-05,0.00017541463603265584,0.9982299208641052,6.826670869486406e-05
0.9999120235443115,3.176098516632919e-06,7.744502909190487e-06,2.829683944582939e-05,2.672739174158778e-05,1.87072619155515e-05,3.375855158083141e-06
0.9817144870758057,0.0015171008417382836,0.0029518723022192717,8.349543350050226e-05,0.0002803207316901535,0.013417165726423264,3.559374817996286e-05
0.99997878074646,2.5767255920072785e-06,2.2649251150141936e-06,4.7964836085157e-06,2.7957050861004973e-06,8.03359489509603e-06,8.82531026036304e-07
0.9999669790267944,4.749959771288559e-06,3.7329859878809657e-06,5.876155682926765e-06,3.888564606313594e-06,1.3631211004394572e-05,1.1203871963516576e-06
1.1969369779762928e-06,1.9355190943315392e-06,3.818292680080049e-05,0.999950647354126,3.3017397527146386e-06,2.802711378535605e-06,1.923129275382962e-06
0.9999717473983765,2.337126034035464e-06,4.28541170549579e-06,7.331170763791306e-06,3.3026281016645953e-06,9.914751899486873e-06,1.1239197874601814e-06
0.9997826218605042,7.388565427390859e-05,3.936729262932204e-05,5.3868907343712635e-06,7.706643373239785e-06,8.852523023961112e-05,2.5121707949438132e-06
6.860923349449877e-06,2.2683082079311134e-06,0.0047471122816205025,0.9949117302894592,0.00027713843155652285,1.0746929547167383e-05,4.4100041122874245e-05
0.0183113943785429,0.20386455953121185,0.01232682354748249,0.000897252350114286,0.010233808308839798,0.7206353545188904,0.03373075649142265
0.9999760389328003,1.7969173313758802e-06,1.9814538063656073e-06,5.857532414665911e-06,4.3277404984110035e-06,8.458690899715293e-06,1.6483372746733949e-06
0.9999756813049316,2.5678934889583616e-06,2.1758623915957287e-06,4.841543614020338e-06,3.530331923684571e-06,1.0341369488742203e-05,8.273619869214599e-07
0.9997043013572693,3.328988532302901e-05,5.6760032748570666e-05,3.181065767421387e-05,3.842297519440763e-05,0.00011369228013791144,2.1802617993671447e-05
0.9972689747810364,1.540268749522511e-05,0.0002019420498982072,0.002222757088020444,0.00021415976516436785,6.816652603447437e-05,8.562968105252367e-06
0.9999772310256958,2.838451337083825e-06,2.3795646484359168e-06,5.901454642298631e-06,3.0890951165929437e-06,7.693571205891203e-06,8.305016763188178e-07
0.9999653100967407,5.313558631314663e-06,5.918242095503956e-06,6.174720510898624e-06,4.2041524466185365e-06,1.1847533642139751e-05,1.2149031363151153e-06
0.9999626874923706,1.927450739458436e-06,4.5019155550107826e-06,1.4480592653853819e-05,5.432278612715891e-06,9.223395863955375e-06,1.7424993075110251e-06
0.9999772310256958,4.099788384337444e-06,2.2188612547324738e-06,3.5027071589865955e-06,2.730409960349789e-06,9.448122909816448e-06,7.559986556771037e-07
0.9998441934585571,2.873236189770978e-05,5.078922549728304e-05,9.144942850980442e-06,9.343470992462244e-06,5.562901424127631e-05,2.1114096853125375e-06
0.0012356770457699895,0.7784051895141602,0.0011513382196426392,0.0006101338076405227,0.21377210319042206,0.00453855050727725,0.00028712014318443835
6.480326533164771e-07,8.952603707257367e-07,2.9028340577497147e-05,0.9999504089355469,1.303380759054562e-05,1.9374633666302543e-06,4.0017848732532e-06
3.838938027911354e-06,1.3570161172538064e-06,5.951471393927932e-05,0.9998828172683716,1.8782329789246432e-05,2.5513414584565908e-05,8.226241334341466e-06
0.9833479523658752,0.00024388048041146249,0.015323626808822155,0.00010064973321277648,7.108353747753426e-05,0.0008874370832927525,2.5452171030337922e-05
0.9999383687973022,1.2597963177540805e-05,1.0574710358923767e-05,3.4850850170187186e-06,3.704069968080148e-06,3.0129145670798607e-05,1.1077207773269038e-06
0.9999746084213257,3.2012428619054845e-06,3.155431613777182e-06,3.2767800348665332e-06,2.190102122767712e-06,1.2985723515157588e-05,6.730992936354596e-07
0.9999780654907227,2.6639718271326274e-06,2.360112148380722e-06,3.2657194424245972e-06,1.987148380067083e-06,1.0451508387632202e-05,1.1959735957134399e-06
2.1176929294597358e-05,5.8303547120885924e-05,0.9996603727340698,3.370214835740626e-05,3.1578547350363806e-05,0.0001894011948024854,5.4765660024713725e-06
0.9999774694442749,2.2823508061264874e-06,2.8978188311157282e-06,5.003039404982701e-06,2.307911245225114e-06,9.274443982576486e-06,7.83525479164382e-07
1.571054417581763e-05,2.444431856929441e-06,0.00015077556599862874,0.9993686079978943,0.00036223127972334623,5.723007780034095e-05,4.298459680285305e-05
